text,cognitive_rigid_score,external_blame_score,social_hostility_score,buzzword_density,emotional_intensity,identity_fusion_score,conspiratorial_thinking_score
Trump says journalists are enemies of the people. Hegseth gave classified information to a journalist. Therefor Hegseth game classified information to the enemy. Hegseth should face the firing squad?,0.9,0.8,0.7,0.5,0.9,0.4,0.7
"Cool, cool - how do we get from “punishable by” to “punished with?”",0.2,0.1,0.1,0.0,0.1,0.0,0.0
"Get the process started to charge them with perjury, make the GOP quash it, and then make noise ad nauseum about being a “nation of laws” and beat that fucking drum till the end of time.",0.7,0.8,0.7,0.6,0.9,0.4,0.5
They lied under oath. They attempted to circumnavigate record retention laws. They committed what are likely war crimes. They are showing us their contempt for our laws and for their constituents.,0.7,0.8,0.7,0.0,0.9,0.2,0.5
This is what happens when you nominate a drunk as Defense Secretary and multiple russian agents in cabinet positions...,0.7,0.8,0.7,0.5,0.9,0.2,0.7
Didn’t Clinton get impeached for lying under oath? Well he wasn’t a republican so I guess that what really matters to them.,0.7,0.5,0.6,0.2,0.5,0.4,0.4
"When the criminals are in charge, only non criminals are imprisoned.",0.7,0.8,0.5,0.0,0.6,0.2,0.7
Give them due process and then...lock them up.,0.7,0.5,0.6,0.2,0.5,0.4,0.3
Honestly I would be okay if the people that lied here were put in prison. These people are actively trying to undermine the country.,0.7,0.8,0.7,0.5,0.6,0.4,0.5
"Pete at 11:44 a.m. on Saturday, March 15: “THIS IS WHEN THE FIRST BOMBS WILL DEFINITELY DROP” Pete on Tuesday, March 25th: “Nothing we were discussing there was secret!”",0.7,0.5,0.4,0.3,0.6,0.2,0.5
I would be willing to bet Trump's next move will be try to blame this reporter and try to charge him with espionage or some shit. Watch it happen.,0.7,0.8,0.5,0.3,0.6,0.2,0.7
"If I were still in the military and I did this, I’d be in Leavenworth for fifteen or twenty.",0.4,0.3,0.2,0.0,0.5,0.5,0.1
Republicans would be losing their minds if the Democrats did this.,0.7,0.5,0.6,0.0,0.5,0.4,0.3
"11 minutes ago, some dipsh*t on the Conservative sub:

> So does this mean we can arrest Jeffrey Goldberg for leaking classified documents?

These people are such hypocritical spineless cowards. They are tearing this country apart because they're too stupid to see what's right in front of their faces. They would've had any Democrat in jail or even hanged in the streets for something like this, but now that it's a Republican who did it, only the Reporter should get in trouble.

I bet it makes a lot of sense when you think dismantling the Department of Education is a good idea. Idiots.",0.9,0.8,0.7,0.5,0.9,0.4,0.5
Here's where the BS that it wasn't classified dies.,0.7,0.5,0.6,0.4,0.7,0.2,0.5
"I am so proud of the Atlantic. It blows my mind that these text got into the *correct hands*, so that this administration's BS can be seen. They lied directly to our face, as they always have, and this is finally blatant proof that they have. Lift that veil. Now, I'm aware that nothing will probably come of this...as NOTHING has from anything that they have done, but finally, this gives me an ounce of hope that *something* might happen.",0.7,0.8,0.5,0.5,0.7,0.4,0.6
"Well, administration has been living by the lie and daring anyone to call them out.  Republicans in congress, get a spine. Heggy has to go. We were fortunate. Next time, could be an American body count.",0.7,0.8,0.7,0.5,0.9,0.4,0.5
"Republicans kinda got caught in a quagmire on this one, due to their over zealous need to protect Trump. They automatically shot out that no classified information was discussed in that group chat. Kinda cut the legs out from underneath them to go after this guy for disclosure of any information that may actually be classified. Great job, maga universe.",0.7,0.5,0.6,0.6,0.7,0.4,0.5
Pretty sure every single one that testified yesterday perjured themselves over this.,0.7,0.8,0.5,0.0,0.6,0.2,0.7
"They’re trying to spin “we will attack this target at this location at this time” as not war plans!? 

I knew it would take incredible mental fortitude to survive this presidency with your sanity in tact, but I’m not entirely sure I have it after this. I can’t deal with this level of stupidity for another (minimum) 3+ years.",0.7,0.8,0.7,0.5,0.9,0.4,0.6
"If you look at the screenshots provided by the Atlantic, you can see that all members of the group were able to add new members. If Goldberg wanted to, he could have added whoever he wanted to the group chat. The add member button would not have been there if the group chat was restricted to only admins adding new members.",0.4,0.3,0.2,0.0,0.1,0.1,0.2
"This is fuckin crazy man. If the Obama/Biden admin had done this, Fox News would be frothing at the mouth for a month straight over their heads on a spike.",0.7,0.8,0.7,0.5,0.9,0.4,0.5
"Conducting high level national security business on unsecured personal phones, using a commercial messaging app?

It's just a glitch. I'm sure they've learned their lesson.

Seriously, I am gobsmacked by the idea that anyone could be at this level doing something this stupid. Even *I*, a lowly nobody, gives *some* thought to security of my personal devices. They gave no thought to it. None. Zero. Zilch.

And we are supposed to trust them with the security affairs of our nation? I don't think so...

I would like to have someone ask these idiots if they have 2FA configured on their apps and devices, just to see the look of confusion sweeping over their faces.",0.7,0.8,0.7,0.3,0.9,0.2,0.4
"Show me the receipts

NOT LIKE THAT",0.5,0.0,0.4,0.0,0.6,0.0,0.0
